id,type,text1,text2,text3,notes
drg_peregrine,SHIP,"Originally designed as a light skirmisher in the same style as the Falcon, captains quickly realized that the Peregrine's armament was fairly lackluster, with its lack of missile hardpoints making it difficult to finish opponents. In response, Tri-Tachyon engineers returned the ship to the drawing board, drastically redesigning the interior of the ship. Updated automated systems reduced the volume required for crew quarters, which allowed engineers to cram the ship full of capital-grade supercapacitors and cooling systems. These systems provided an enormous increase to maximum weapon damage output, while only mildly increasing overall flux costs for firing them. Satisfied with the results, Tri-Tachyon returned the ship to production, where it proved quite popular among aggressive captains. While it still has no missiles, the Peregrine's energy weapons can hit incredibly hard, and many a pirate captain has met their fate at the hands of this surprisingly punchy light cruiser.",,,
drg_inequality,SHIP,"Often chosen as a flagship by Tri-Tachyon captains thanks to its spacious bridge (or perhaps its luxurious captain's quarters) rather than any combat capability, the Inequality is nonetheless an extremely capable warship. Designed to serve as a fleet anchor when a Paragon is unavailable or impractical, it has an extremely powerful reactor core for its size. This excess of power allows it to mount a standardized high-energy amplification system to amplify is already impressive broadside, and a more exotic harmonic energy projector. The projector uses flux buildup to catalyze a magnetohydrodynamic reaction in the energetic plasma used to fuel the warship's weapons, substantially increasing range and projectile velocity at higher flux levels. ",,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
istlx_braveblade,SHIP,An advanced prototype frigate with strong conceptual ties to the DME Vesper and Borzoi designs. Several highly unusual systems have been incorporated into the hull; whether they prove broadly useful is for testing to discover.,,,
istl_bravepulse,WEAPON,"A capacitor pulse cannon, firing bursts of phase-overcharged particle bolts.",General,,
istl_bravekinetic,WEAPON,"Using a Sigma-enhanced gravity capacitor and the discharge spike mounted to the bow, this special emitter unit can accumulate and discharge a powerful focused graviton bolt.",Strike,,
istl_bravemissile,WEAPON,"A generator system for phase-buster energy 'missiles', designed to deliver a simultaneous barrage of guided pseudoprojectiles for devastating all-range attacks.",Anti-Fighter,,
istl_braveimpulsor,WEAPON,A multiple-beam node firing miniature particle beams to destroy incoming missiles.,Point Defense,,
istl_bravejets,SHIP_SYSTEM,Delivers a brief burst of extreme speed and maneuverability. Stores two charges.,Movement,Delivers a brief burst of extreme speed and maneuverability. Stores two charges.,
istl_bravebits,SHIP_SYSTEM,,Drones (experimental),Deploys two ion-armed defense bits.,
,,,,,
istlx_alauda,SHIP,An advanced prototype frigate with strong conceptual ties to the DME Vesper and Borzoi designs. Several highly unusual systems have been incorporated into the hull; whether they prove broadly useful is for testing to discover.,,,
istl_alaudapulse,WEAPON,A rapid-firing but otherwise unremarkable laser unit.,General,,
istl_alaudamissile,WEAPON,"A compact autoforge unit, capable of building and firing a barrage of Tireur advanced tactical missiles mid-battle.",General,,
istl_alaudabits,SHIP_SYSTEM,,Drones (experimental),Deploys four beam-armed defense bits.,
,,,,,
istl_goalkeeper_single,SHIP_SYSTEM,,Drones (high tech),Launches a Goalkeeper defensive bit.,
istl_goalkeeper_multi,SHIP_SYSTEM,,Drones (high tech),Launches two Goalkeeper defensive bits.,
istl_oryol_bits,SHIP_SYSTEM,,Drones (high tech),Launches two Oryol scanner bits.,
istl_defbit,SHIP_SYSTEM,,Drones (high tech),Deploys three beam-armed defense bits.,
istl_singledefbit,SHIP_SYSTEM,,Drones (high tech),Deploys a beam-armed defense bit.,
istl_dockjets,SHIP_SYSTEM,Activates RCS jets for more precise maneuvering. Also boosts top speed slightly,Movement,Activates RCS jets for more precise maneuvering. Also boosts top speed slightly,
istl_jetinjector,SHIP_SYSTEM,"Supercharges the ship's engines for a short period, providing a massive speed boost. Shields and turn jets are disabled while the system is active.",Movement,"Supercharges the ship's engines for a short period, providing a massive speed boost. Shields and turn jets are disabled while the system is active.",
istl_ramdrive,SHIP_SYSTEM,"Overcharges the ship's engines for a short period, providing a substantial speed boost. Shields are disabled while the system is active.",Movement,"Overcharges the ship's engines for a short period, providing a substantial speed boost. Shields are disabled while the system is active.",
istl_heavyburn,SHIP_SYSTEM,"Produces a massive boost to top speed for a short period. Shields are disabled while the system is active, and collisions can cause the ship's engines to flame out.",Movement,"Produces a massive boost to top speed for a short period. Shields are disabled while the system is active, and collisions can cause the ship's engines to flame out.",
istl_hyperfocus,SHIP_SYSTEM,"Boosts the intensity of all energy weapons and doubles the range of beam weapons, but reduces top speed, while active.",Offensive,"Boosts the intensity of all energy weapons and doubles the range of beam weapons, but reduces top speed, while active.",
istl_fastloader,SHIP_SYSTEM,Reloads all missile weapons immediately at the cost of flux. Stores two charges.,Offensive,Reloads all missile weapons immediately at the cost of flux. Stores two charges.,
istl_mine_strike,SHIP_SYSTEM,Deploys lightweight space mines via teleport. Stores five small mines.,Offensive,Deploys lightweight space mines via teleport. Stores five small mines.,
istl_mirage,SHIP_SYSTEM,"An advanced teleportation device, allowing the ship to 'jaunt' directly through the hyperspace pseudo-fluid brane in quick bursts.",Movement,"An advanced teleportation device, allowing the ship to 'jaunt' directly through the hyperspace pseudo-fluid brane in quick bursts.",
istl_mirage_sm,SHIP_SYSTEM,"An advanced teleportation device, allowing the ship to 'jaunt' directly through the hyperspace pseudo-fluid brane in quick bursts.",Movement,"An advanced teleportation device, allowing the ship to 'jaunt' directly through the hyperspace pseudo-fluid brane in quick bursts.",
istl_mirage_ftr,SHIP_SYSTEM,"An advanced teleportation device, allowing the ship to 'jaunt' directly through the hyperspace pseudo-fluid brane in quick bursts.",Movement,"An advanced teleportation device, allowing the ship to 'jaunt' directly through the hyperspace pseudo-fluid brane in quick bursts.",
istl_pulsejets_ftr,SHIP_SYSTEM,Provides a brief burst of extra speed and maneuverability by dumping ultrahot reaction medium directly into the engine exhaust.,Movement,Provides a brief burst of extra speed and maneuverability by dumping ultrahot reaction medium directly into the engine exhaust.,
istl_pulsejets_frg,SHIP_SYSTEM,Provides a brief burst of extra speed and maneuverability by dumping ultrahot reaction medium directly into the engine exhaust.,Movement,Provides a brief burst of extra speed and maneuverability by dumping ultrahot reaction medium directly into the engine exhaust.,
istl_pulsejets,SHIP_SYSTEM,Provides a brief burst of extra speed and maneuverability by dumping ultrahot reaction medium directly into the engine exhaust.,Movement,Provides a brief burst of extra speed and maneuverability by dumping ultrahot reaction medium directly into the engine exhaust.,
istl_decoyflares_main,SHIP_SYSTEM,Launches guided flares to seek out and destroy enemy missiles.,Defensive,Launches guided flares to seek out and destroy enemy missiles.,
istl_decoyflares_low_main,SHIP_SYSTEM,Launches high-energy flares to confuse the guidance systems of nearby enemy missiles.,Defensive,Launches high-energy flares to confuse the guidance systems of nearby enemy missiles.,
istl_decoyflares_fighter,SHIP_SYSTEM,Launches guided flares to seek out and destroy enemy missiles.,Defensive,Launches guided flares to seek out and destroy enemy missiles.,
istl_decoyflares_low_fighter,SHIP_SYSTEM,Launches high-energy flares to confuse the guidance systems of nearby enemy missiles.,Defensive,Launches high-energy flares to confuse the guidance systems of nearby enemy missiles.,
istl_precision,SHIP_SYSTEM,"Sends real-time targeting data to fighter wings from this carrier, improving the effectiveness of their weapons.",Fighter,"Sends real-time targeting data to fighter wings from this carrier, temporarily increasing their damage.",
istl_strikecommand,SHIP_SYSTEM,"Coordinates the operations of fighter wings launched from this carrier, improving their top speed and maneuverability. Also improves fighter weapons accuracy.",Fighter,"Coordinates the operations of fighter wings launched from this carrier, improving their top speed and maneuverability. Also improves fighter weapons accuracy.",
istl_targetpainter,SHIP_SYSTEM,"Sends real-time targeting data and corrections to all friendly and allied craft, making their weapons more effective against the targeted ship. Also improves fighter weapons accuracy.",Offensive,"Sends real-time targeting data and corrections to all friendly and allied craft, making their weapons more effective against the targeted ship. Also improves fighter weapons accuracy.",
istl_recall,SHIP_SYSTEM,"Teleports all fighters back to the carrier, allowing them to be quickly refitted and relaunched.",Fighter,"Teleports all fighters back to the carrier, allowing them to be quickly refitted and relaunched.",
istl_scanner_bits,SHIP_SYSTEM,Launches two advanced scanner bits that increase sensor and weapon range.,Drones (high tech),Launches two advanced scanner bits that increase sensor and weapon range.,
istl_damper,SHIP_SYSTEM,"Projects an energy screen around the vessel, reducing incoming damage to a small fraction.",Defensive,"Projects an energy screen around the vessel, reducing incoming damage to a small fraction.",
istl_sigmadisruptor,SHIP_SYSTEM,Induces an overload in the target ship by channelling a brief burst of sigma radiation through skipspace.,Offensive,Induces an overload in the target ship by channelling a brief burst of sigma radiation through skipspace.,
istl_sigmajaunt,SHIP_SYSTEM,A teleportation system that uses sigma particle excitation to punch through phase space.,Offensive,A teleportation system that uses sigma particle excitation to punch through phase space.,
istl_sigmajaunt_slow,SHIP_SYSTEM,A teleportation system that uses sigma particle excitation to punch through phase space.,Offensive,A teleportation system that uses sigma particle excitation to punch through phase space.,
istl_BBdecoyflare,SHIP_SYSTEM,Launches long-lived plasma packets that confuse the tracking systems of point-defense weapons.,Offensive,Launches long-lived plasma packets that confuse the tracking systems of point-defense weapons.,
istl_BBstutterdrive,SHIP_SYSTEM,"A rapid-cycling skimmer system that chains multiple, short jumps in the direction of travel. Stores five charges.",Movement,"A rapid-cycling skimmer system that chains multiple, short jumps in the direction of travel.",
istl_BBstutterdrive_sm,SHIP_SYSTEM,"A rapid-cycling skimmer system that chains multiple, short jumps in the direction of travel. Stores three charges.",Movement,"A rapid-cycling skimmer system that chains multiple, short jumps in the direction of travel.",
istl_BBfortressshield,SHIP_SYSTEM,"Redirects power from the Sigma strangelet reactor to shields, greatly increasing the efficiency at which damage is absorbed.",Defensive,Reduces the damage taken by shields to a minimum for a short time.,
istl_BBpulsejets,SHIP_SYSTEM,Provides a brief burst of extra speed and maneuverability.,Movement,Provides a brief burst of extra speed and maneuverability.,
istl_BBdreadgunpod,SHIP_SYSTEM,Deploys remote turrets armed with a variety of energy weapons.,Drones (high tech),Deploys remote turrets armed with a variety of energy weapons.,
istl_BBguardgunpod,SHIP_SYSTEM,Deploys remote turrets armed with a variety of energy weapons.,Drones (high tech),Deploys remote turrets armed with a variety of energy weapons.,
istl_fastloader_proto,SHIP_SYSTEM,Reloads all missile weapons immediately at the cost of flux. Stores three charges.,Offensive,Reloads all missile weapons immediately at the cost of flux. Stores three charges.,
istl_slammerjets,SHIP_SYSTEM,Delivers a brief burst of extra speed and maneuverability. Stores two charges.,Movement,Delivers a brief burst of extra speed and maneuverability. Stores two charges.,
istl_phaseflare,SHIP_SYSTEM,Launches long-lived decoys that confuse the tracking systems of point-defense weapons.,Offensive,Launches long-lived decoys that confuse the tracking systems of point-defense weapons.,
,,,,,
istl_aridbread,PLANET,"A dry, partially-terraformed planet perpetually on the verge of League membership, Valjean's biosphere failed catastrophically after the Collapse. Now, the weak central government barely maintains control over a restless, hungry population. The major mines are played out, and most of the population is desperate for transport elsewhere - anywhere.",,"Seen from close orbit, the ragged biosphere of Valjean looks even mangier than the orbital photos on file. For all that Valjean once held enormous promise of easy wealth and bountiful harvests, it’s a planet with no future. Now, the only thing Valjean exports regularly is people - as engine wipers, hired guns, and refugees; no job is too dirty in exchange for guaranteed passage offworld.",
istl_sigmaworld,PLANET,"A heavily irradiated planet, scoured and transformed by something known as a Sigma Event to the few researchers in the Sector capable of wrapping their minds around advanced n-dimensional mathematics without AI augments. Massive radiation belts wreathe the planet, and the surface is a melted, blasted landscape of dimensional fractures and radiant skipspace strangelets.",,"From close orbit, the surface of this world is even more unsettling. Flickers of radiation seethe across vast plains of twisted slag.",
istl_dysonshell,PLANET,"An enormous megastructure, assembled wholly by automated machinery working tirelessly and efficiently for centuries. Domain engineering prowess was stretched to the limit by these gargantuan creations, and only a very few were ever constructed.",,The massive scale of the shell sourrounding the planet below is breathtaking; kilometer-thick stanchions appear as insubstantial as gossamer thread.,
corona_sigma,TERRAIN,"A storm of dimensional brane fractures and twisted space-time. All but the hardiest, most advanced ships will take damage if they remain within it for any length of time.",,,
istl_bladebreaker_beacon,CUSTOM,"A sigma-hardened warning beacon, placed here by the Blade Breakers. Shielded against the electromagnetic and dimensional turbulence that pervade space around sigma strangelets and worlds, even this massively overbuilt beacon will fail within a few hundred cycles of exposure to the roiling, fractured skipspace emanations.

The expense and difficulty of placing such a beacon suggests that its warning is not to be taken lightly.",,,
,,,,,
nikolaev_highport,CUSTOM,"Less of a space station and more of a self-sufficient artificial micromoon, Peremohy Highport is the commercial and financial center of the Nikolaev system, and a strictly regulated port with appealingly liberal tariff laws.",,"Built outward from an orbital test facility established in the Sector pre-Collapse, Peremohy Highport is one of the oldest habitats in this volume of space. Internal dividers are few and far between; parkways and elevated gardens break up the bright ceramic surfaces of the station’s wide, spacious interior.

Everything is a little too clean, too regulated, but for all that, the people living here seem genuinely happy. Security is tight, but unobtrusive, even in the much-maligned financial district, and the tourist decks boast some truly impressive fine dining options.",
nikolaev_beltstation,CUSTOM,"This wreck of a station was once an orbiting test platform, but the previous two centuries of neglect have reduced it to a hollow shell. It's stable enough... for now.",,"Whatever rendered this station vacant, it left the structure mostly intact, even if the crew seems to have left in a tearing hurry.",
lavoisier_base,CUSTOM,"An isolated research station, useful mainly for conducting experiments too dangerous or secretive to be performed in Peremohy orbit.",,"Something of a hardship posting, Lavoisier Base has attracted both talented researchers and a certain... rowdy element, in the form of extremely bored graduate students. There's a thriving black market here, much to the embarassment of everyone.",
novymir_starforge,CUSTOM,"A small industrial outpost, producing antimatter fuel, raw metals, and exotic ceramics destined for Dassault-Mikoyan factories in the Nikolaev system. Occasional aid to the beleaguered world of Valjean is coordinated through here, in addition to sporadic tech-mining expeditions and anti-piracy patrols.

As a strategic fuelling outpost, Novy Mir Starforge would ordinarily rate a fleet base, but given the absence of organized pirate gangs and nearby hostile powers, the garrison has been reduced to a token presence.",,"Fuel production and ore smelting are tedious business at the best of times, and the nightlife on Novy Mir is appropriately raucous as a result. The station’s commercial decks have a startling variety of bars, sleepovers, food stalls, and service outlets, offering myriad routes into trouble or out of it, subject only to the limitations of taste, local law, and ready credits.

While most of the station is tightly secured, several disused maintenance corridors have become semi-permanent shelters for a small number of itinerant refugees; their numbers remain steady despite a constant churn of half-hearted security sweeps and petty disputes ending in stabbings - or worse. Station government is content to keep a lid on the violence, so long as no shareholders are involved.",
station_besson,CUSTOM,"A nearly intact orbital station, showing only light damage around one of the airlocks. It appears to be fully functional. ",,"For a station where no living thing has ventured in quite some time, this habitat is in remarkably good shape - clearly abandoned by choice, rather than destroyed. No doubt for good reason, as well, and what that reason is should keep your crew on their toes.",
station_brightheaven,CUSTOM,"A destroyed sporeship, eking out a second life as a meeting place and transshipment point for various goods, legal... or otherwise.",,"The eerie, empty corridors of Brightheaven loom large in the folklore of Nikolaev's pirate gangs; something about empty, decaying colony ships seems to give even the most hardened vac-rat the willies. The people here speak in whispers and do business furitively, even by the standards of pirate outposts. The lack of any central authority or unified maintenance planning only adds to the chaos.",
station_antilles,CUSTOM,"A mining station fallen on hard times, the arrival of a Dassault-Mikoyan industrial outpost in Martinique did nothing to improve Antilles Starport's on-and-off economic troubles; the station's government was soon replaced by one more welcoming to businessmen with 'creative' notions of potential new revenue streams. Several cycles ago, a group of private investors hired mercenaries to clear it out; no pirates have returned... yet.",,"The airless corridors of Antilles Starport are pocked with burn holes and broad, reddish-brown stains; it doesn't take much imagination to conjure up images of the slaughter that took place here. Most of the pirates likely died of decompression when the ring was breached; the remainder must have been hunted through the wreckage for days before their luck, or air, ran out.",
station_mariegalante,CUSTOM,"This small station served as an orbital terminal for the planet below. Unable to cope with the flow of refugees, it collapsed into anarchy and then total destruction, as rioters destroyed systems and ultimately, depressurized the passenger galleries. Now, it orbits Marie-Galante as a silent tomb, airless corridors choked with the bodies of the fleeing dead.",,"Some of the interior devastation has been cleaned up by rescue workers and scavenger crews with sudden attacks of conscience, but here and there scenes of raw, unrestrained savagery and its aftermath remain, preserved eerily well by vacuum. The less said about the sight of, say, a flash-frozen spray of bodily fluids, the better.",
station_meridian,CUSTOM,"Once a promising freeport straddling the sector's Western trade routes out of Magec, Meridian Station's swift fall into the hands of pirates associated with the Kanta Cartel was a massive blow to the economy of the Kostroma system.",,"Pirate stations aren't known for their restrained, sober local atmospheres, and Meridian Station is worse than most, with a nightlife to rival any red-light district, freak show, or abattoir. The notorious Combat Zone of the outer commercial ring lives up to its name; don't go in there for a drink unless you're heavily armed.

The line between radical political party, terrorist cell, and pirate band is blurry in the extreme on Meridian Station; it's a big, wealthy, unregulated center for all the Sector's most unlawful, immoral, unsavory, and fattening trades, and anyone who stays here by choice at least dabbles in most of them. Expect to dodge at least a dozen thoroughly repugnant propositions before breakfast, business and pleasure both, and best to drink anything you're offered with someone else's mouth.",
station_pirate1,CUSTOM,"One of several stations established in Kostroma's Meridian Disk, this minor port was abandoned as uneconomical in the wake of Marie-Galante's descent into anarchy.",,Not even pirates have found this dilapidated wreck promising enough to restore. The only remaining markers of human habitation are discarded ration wrappers and some truly disgusting propositions burned into the plating with hand weaponry.,
station_pirate2,CUSTOM,"One of several stations established in Kostroma's Meridian Disk, this minor port was abandoned as uneconomical in the wake of Marie-Galante's descent into anarchy.",,Not even pirates have found this dilapidated wreck promising enough to restore. The only remaining markers of human habitation are discarded ration wrappers and some truly disgusting propositions burned into the plating with hand weaponry.,
station_lareole_polis,CUSTOM,"A busy, but unstable commercial starport, swollen with an influx of refugees from the fall of Marie-Galante. A sizeable military presence is based here, aimed at deterring pirate attacks launched from the anarchic inner system.

Debates rage on Peremohy about the costs and benefits of the fleets stationed here, but a slim majority in favor of continued humanitarian relief and anti-piracy patrol has thus far won out.",,"Though no imminent danger of collapse remains, La Reole Polis has been strained beyond design capacity for a generation by the ongoing demographic disasters of the inner system. The station's permanent quarantine section - or 'Q' - has an unsavory reputation in humanitarian circles; persistent rumors of wide-spread corruption and abuse of emergency powers circulate, and riots are a regular occurance.

In spite of the gruesome catastrophes that dominate the recent history of the Kostroma system, La Reole Polis is still a cosmopolitan and wealthy port by Persean Sector standards; you can find drinks with real fruit mixers in the dockside bars, and something close to the fine cuisine of Earth is available, albeit at steep prices and with a heavy emphasis on fish, more fish, and fish-like native marine life, on the more rarefied commercial decks.",
station_cousteaubase,CUSTOM,"Although no settlement is likely on Odessa in the forseeable future, this small research station has been established to monitor the planet's indigenous life from orbit.",,,
station_aleph,CUSTOM,"A huge, unfinished orbital habitat, at once incomplete and rundown.",,"This station was clearly abandoned well before completion and activation; several generations of squatters have left their mark on the most finished interior areas, and whole incomplete sections have been salvaged outright.",
station_lenze,CUSTOM,"An imposing slab of shielded, armored metal, placed firmly in a close orbit around Lenze despite the torrential dimensional storms that emanate from the world's surface. Shoals of small craft flit around it, engaged in repairs or other inscrutable activity.",,"If anything, this fortress-port is even more imposing closer up; an architecture designed to intimidate on every level, right down to the arrow-slit docking ports and massive armored stationkeeping thrusters. Several laser targeting systems casually paint your hull, and massive weapons emplacements swivel side to side in automated testing routines.

'Evil' is a strong word to apply - nevertheless, a palpable air of menace is projected from everything you see. Outsiders are profoundly unwelcome here, and their toleration is purely a matter of short-term convenience.",
planet_lareole,CUSTOM,"A glittering, beautiful water planet, once apparently destined to become one of the great tourist attractions of the Domain's newest frontier. But the angel of history had other plans; the golden beaches lie fallow, and the seas are farmed intensively to provide enough food for the crowded station above.",,"For every scenic island, a half-dozen sprawling kelp farms and fish hatcheries mar the surface of the ocean; relatively little development has touched La Reole’s scarce landmasses. The notable exceptions are lit up so garishly that they could be mistaken for bursts of energy-weapons fire.

The various fishing settlements and refugee-camps-turned-towns have an unrestrained, joyous nightlife, full of noisy music and drinks you'll regret. People have carved out new homes for themselves here thousands of times over; they avoid last names and any discussion of the personal past by long reflex. Now and again, you can see lone figures gazing insystem, but to what, you'll never know.",
planet_aleph1,CUSTOM,"An ordinary volcanic world, remarkable largely for the poverty of its mineral resources.",,,
planet_aleph2,CUSTOM,"A terran-extreme variant world with a nitrogen-oxygen atmosphere maintained by a relatively subdued biosphere that exists largely within the oceans that undergo periodic thaw periods. The surface is very cold indeed, but it is human-viable if precautions are observed. Carbon dioxide may freeze out of the atmosphere at the poles during the local winter.",,"From close orbit, you can see that there's been a concerted effort to disguise the recently-abandoned habitation of this world. Extensive tunneling and underground settlement seem to have taken place, all with an eye towards maximum possible concealment. The question is - who hid here? From what?",
planet_astalon,CUSTOM,"A choking, sulphurous rock, settled to exploit the incredible biological and chemical potential of a unique, if horribly dangerous, biosphere. Astalon's organic wealth allowed it to weather the Collapse, somewhat, albeit with a drastically reduced population. Now, it's a weak independent world, calling on Kazeron's fleets to protect it, but spurning full League membership.",,"An industrial powerhouse fallen on hard times, Astalon nevertheless stubbornly clings to viability thanks to rich, if terribly crude, chemical industries. The remaining inhabitants of this world are fiercely proud of their cramped settlements. Rumors persist that some of the outlying domes trade with pirates, but thus far, no one has caught them in the act.",
planet_mariegalante,CUSTOM,"An eccentric jungle world swathed in steam and verdant, aggressive foliage, Marie-Galante was always a marginal colony world, but managed to weather the Collapse more or less intact. A series of weak, unstable governments were then finally toppled by an ambitious pirate warlord, whose brief rise and bloody fall set the stage for the current, vicious anarchy. The unusually violent weather system did the rest; the surviving population is little more than scattered, heavily-armed bands, constantly at odds with one another.",,"Even from orbit, the signs of intermittent surface warfare are starkly visible through Marie-Galante's turbulent atmosphere. Artillery rockets and pulse-carbine fire draw thin, bright streaks through the jungle, punctuated by explosions.

Marie-Galante's various ethnic groups and political alignments were once organized into a number of competing blocs, but after several generations of vicious fighting, decaying infrastructure and a hostile biosphere, allegiance is governed solely by an extreme form of resource-driven realpolitik; groupings form, cooperate, and splinter in cold-blooded fashion based on their calculated chances of surviving another cycle of the unforgiving surface conditions.",
